date,open,close,high,low,volume,mv10,mv20,vol10,vol20,rsi5,rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction,ret,ret_cur,ret_lag1,ret_lag2
2006-3-1,1051.76,1056.62,1057.69,1049.64,19425700,1038.712,1032.7895,13.76322217,14.55406164,92.70405837,71.3691988,1.757882397,2.211984568,1.320466838,1.074281642,1004.418411,1032.7895,1061.160589,0.91997859,-2,-0.016988132,0.003428268,0.004933959,-0.001524623
2006-3-2,1055.86,1038.67,1056.05,1034.68,24877900,1040.567,1034.7685,12.13244324,12.23710633,46.29120879,53.44658608,1.463835841,2.070473713,1.124620075,1.082978834,1010.913988,1034.7685,1058.623012,0.581776983,1,0.002897937,-0.016988132,0.003428268,0.004933959
2006-3-3,1037.99,1041.68,1043.42,1029.56,21200500,1042.698,1036.3725,9.8470185,10.78021525,37.61965539,55.3501222,1.169910304,1.910619231,1.020351549,1.114089027,1015.357992,1036.3725,1057.387008,0.626281804,-1,-0.002697565,0.002897937,-0.016988132,0.003428268
2006-3-6,1041.75,1038.87,1044.42,1036.11,17871000,1044.421,1036.6545,6.783975318,10.76744483,36.22119816,50.18888889,1.112833276,1.752275251,0.958419608,1.111298696,1015.664886,1036.6545,1057.644114,0.552776101,-2,-0.023005766,-0.002697565,0.002897937,-0.016988132
2006-3-7,1037.93,1014.97,1037.98,1013.14,19336500,1042.036,1035.906,11.51476752,11.7355678,12.90951638,37.95251422,0.979468857,1.604352665,0.556007426,0.995973099,1013.029167,1035.906,1058.782833,0.042419184,-1,-0.00561593,-0.023005766,-0.002697565,0.002897937
2006-3-8,1012.58,1009.27,1014.97,999.93,17463100,1039.174,1034.716,15.51995074,13.15866551,5.639872588,44.28526283,0.819412728,1.456795399,0.139141009,0.759707934,1009.065039,1034.716,1060.366961,0.003995197,-1,-0.004884719,-0.00561593,-0.023005766,-0.002697565
2006-3-9,1006.97,1004.34,1010.91,1002.2,12735100,1035.471,1033.953,18.97156612,14.45942348,7.459727385,41.95361911,0.509925474,1.290616586,-0.459415743,0.44290077,1005.766395,1033.953,1062.139605,-0.025302703,1,0.004540295,-0.004884719,-0.00561593,-0.023005766
2006-3-10,1004.75,1008.9,1011.76,1004.69,11888000,1031.417,1032.781,19.96056894,15.50891591,10.88305489,43.80952381,0.238897964,1.100495886,-1.0065334,0.03752378,1002.548557,1032.781,1063.013443,0.105043493,2,0.010863316,0.004540295,-0.004884719,-0.00561593
2006-3-13,1008.8,1019.86,1020.88,1008.51,11765900,1028.619,1032.1935,19.35452887,15.77586574,31.00899101,40.19445594,0.026810907,0.897664194,-1.21052192,-0.396264526,1001.440676,1032.1935,1062.946324,0.299473699,-1,-0.001559038,0.010863316,0.004540295,-0.004884719
2006-3-14,1020.47,1018.27,1021.65,1012.11,11348000,1025.145,1031.1805,17.52101674,15.99649648,55.9480894,39.92192316,-0.169285841,0.68353439,-1.437790405,-0.795024092,999.9975877,1031.1805,1062.363412,0.292987584,2,0.010498198,-0.001559038,0.010863316,0.004540295
2006-3-15,1018.15,1028.96,1028.96,1017.08,14842100,1022.379,1030.5455,13.78503734,15.80958453,80.07943782,44.06504065,-0.318229227,0.48552716,-1.514433722,-1.125739038,999.7269462,1030.5455,1061.364054,0.474276859,-1,-0.001302286,0.010498198,-0.001559038,0.010863316
2006-3-16,1028.96,1027.62,1029.81,1025.52,14784300,1021.274,1030.9205,12.73711305,15.63728893,89.94509266,38.84686158,-0.503209865,0.299624919,-1.374963997,-1.308848689,1000.437812,1030.9205,1061.403188,0.445862714,-1,-0.00350324,-0.001302286,0.010498198,-0.001559038
2006-3-17,1027.64,1024.02,1029.56,1021.08,15001900,1019.508,1031.103,10.64609767,15.52859674,76.82753726,38.06852334,-0.783106754,0.088964916,-1.188061994,-1.345154407,1000.832192,1031.103,1061.373808,0.383006095,2,0.013320052,-0.00350324,-0.001302286,0.010498198
2006-3-20,1024.5,1037.66,1037.91,1019.65,15389900,1019.387,1031.904,10.4057474,15.4276288,78.83992223,42.91254964,-0.810954991,-0.109971067,-0.803480058,-1.263746035,1001.830015,1031.904,1061.977985,0.595697328,1,0.002987491,0.013320052,-0.00350324,-0.001302286
2006-3-21,1037.95,1040.76,1047.05,1036.23,19077700,1021.966,1032.001,12.22610613,15.47941312,84.73895582,42.64241974,-0.852225134,-0.295708607,-0.37177428,-1.05054281,1001.826069,1032.001,1062.175931,0.645137033,1,0.006639379,0.002987491,0.013320052,-0.00350324
2006-3-22,1041.14,1047.67,1047.94,1036.71,18640600,1025.806,1032.49,13.73297022,15.8258403,82.7212312,54.65164358,-0.814936844,-0.442915532,-0.034175357,-0.754491137,1001.639758,1032.49,1063.340242,0.746027242,1,0.000830414,0.006639379,0.002987491,0.013320052
2006-3-23,1047.35,1048.54,1049.32,1042.82,20467900,1030.226,1032.8485,13.15730401,16.11613258,87.19772404,53.62579281,-0.569340743,-0.532719832,0.349802374,-0.409537863,1001.432374,1032.8485,1064.264626,0.749736394,-1,-0.00566502,0.000830414,0.006639379,0.002987491
2006-3-24,1049.12,1042.6,1051.76,1041.23,20098200,1033.596,1032.5065,11.26834524,15.81528151,80.4990151,51.90831884,-0.383698081,-0.578331942,0.571763955,-0.057572673,1001.676841,1032.5065,1063.336159,0.663697884,1,0.00777863,-0.00566502,0.000830414,0.006639379
2006-3-27,1042.63,1050.71,1050.71,1037.08,17134100,1036.681,1032.65,11.31282208,15.97395709,76.1732852,71.80864047,-0.12246808,-0.573129969,0.877216039,0.278566546,1001.511025,1032.65,1063.788975,0.789990278,1,0.005015656,0.00777863,-0.00566502,0.000830414
2006-3-28,1050.07,1055.98,1056.52,1048.64,22274000,1040.452,1032.7985,10.76569428,16.18559635,78.08118081,78.65292602,0.129009662,-0.523436759,1.304783626,0.613878127,1001.246964,1032.7985,1064.350036,0.867359297,1,0.008816455,0.005015656,0.00777863,-0.00566502
2006-3-29,1058.74,1065.29,1074.04,1057.68,30526300,1044.085,1033.232,12.45424894,16.95500597,79.86440678,85.48142974,0.3958941,-0.423536318,1.644299496,0.949573098,1000.180609,1033.232,1066.283391,0.984972021,-1,-0.009067953,0.008816455,0.005015656,0.00777863
2006-3-30,1065.84,1055.63,1067.99,1055.14,22012500,1046.886,1034.08,11.44896715,17.65113505,59.25829198,75.67864601,0.630005445,-0.266523852,1.766373422,1.232887308,999.6716034,1034.08,1068.488397,0.813150308,1,0.005172267,-0.009067953,0.008816455,0.005015656
2006-3-31,1053.85,1061.09,1061.47,1050.22,22276200,1050.593,1035.0505,8.951665332,18.59913905,74.45120339,74.11393145,0.814421722,-0.085926439,1.856175824,1.489769681,998.7941033,1035.0505,1071.306897,0.85910215,2,0.017180447,0.005172267,-0.009067953,0.008816455
2006-4-3,1061.96,1079.32,1079.37,1061.96,27729800,1054.759,1037.073,11.57398083,21.07133426,79.84560818,79.88837756,1.117526552,0.132934859,2.081531387,1.730632751,995.9974077,1037.073,1078.148592,1.01425917,1,0.009311418,0.017180447,0.005172267,-0.009067953
2006-4-4,1080.86,1089.37,1089.37,1076.2,31148800,1059.62,1040.793,14.79965991,23.40230198,81.67330677,79.76155286,1.485592833,0.388549268,2.358627371,1.9414015,995.1735151,1040.793,1086.412485,1.032415042,1,0.009730395,0.009311418,0.017180447,0.005172267
2006-4-5,1091.18,1099.97,1100.56,1089.55,32936900,1064.85,1045.328,18.80620583,25.65210602,82.11111111,82.66365688,1.807828881,0.652679226,2.587759194,2.13009344,995.3228396,1045.328,1095.33316,1.046363611,1,0.002972808,0.009730395,0.009311418,0.017180447
2006-4-6,1102.54,1103.24,1109.68,1097.32,36167000,1070.32,1050.273,21.32194331,26.83997747,100,85.87212462,2.131585673,0.932155199,2.747571346,2.326333024,997.9522519,1050.273,1102.593748,1.006175866,-1,-8.16E-05,0.002972808,0.009730395,0.009311418
2006-4-7,1102.94,1103.15,1105.1,1091.89,32570900,1076.375,1054.9855,21.17232903,27.46040431,99.78693182,83.803035,2.331279771,1.204793849,2.801277499,2.515353359,1001.455317,1054.9855,1108.515683,0.949881708,2,0.013379867,-8.16E-05,0.002972808,0.009730395
2006-4-10,1104.32,1117.91,1118.08,1100.69,32067500,1083.095,1059.888,22.72856169,29.53357066,99.76786175,85.54316779,2.596153412,1.478920932,3.165213144,2.732089711,1002.316472,1059.888,1117.459528,1.003912282,1,0.004830443,0.013379867,-8.16E-05,0.002972808
2006-4-11,1120.16,1123.31,1126.09,1112.01,35607500,1089.828,1065.14,23.75331032,31.04413344,99.73622509,85.33918894,2.918449245,1.759204837,3.491023313,2.958568899,1004.623843,1065.14,1125.656157,0.980615451,-1,-0.005555012,0.004830443,0.013379867,-8.16E-05
2006-4-12,1123.78,1117.07,1123.78,1116.15,30333800,1095.006,1069.5455,23.45178041,31.88019522,78.72983871,80.48758786,3.059277284,2.02912393,3.568959231,3.154808907,1007.399559,1069.5455,1131.691441,0.882362058,-2,-0.020714906,-0.005555012,0.004830443,0.013379867
2006-4-13,1116.84,1093.93,1122.39,1093.51,33824100,1098.836,1072.861,19.01424448,30.71738371,40.62059238,69.80476889,3.041047815,2.27652683,3.309615265,3.26721769,1012.981796,1072.861,1132.740204,0.675929191,2,0.022560859,-0.020714906,-0.005555012,0.004830443
2006-4-14,1091.69,1118.61,1118.67,1091.67,33528000,1104.588,1077.5905,14.48857389,30.07688385,60.41498248,73.22796935,3.033033424,2.489360926,3.103305808,3.327623352,1018.95986,1077.5905,1136.22114,0.849812827,1,0.005185006,0.022560859,-0.020714906,-0.005555012
2006-4-17,1120.19,1124.41,1129.15,1114.53,35704500,1109.097,1081.928,12.6508586,30.26992821,54.98007968,73.32469834,3.141002232,2.673295304,2.969487275,3.288478178,1022.921047,1081.928,1140.934953,0.859974527,1,0.006109871,0.005185006,0.022560859,-0.020714906
2006-4-18,1127.51,1131.28,1135.45,1119.27,32317200,1113.288,1086.454,12.3274047,30.55644017,55.97182676,72.87348354,3.27415688,2.836220637,2.910411827,3.172355881,1026.888532,1086.454,1146.019468,0.876275061,1,0.006152323,0.006109871,0.005185006,0.022560859
2006-4-19,1135.61,1138.24,1140.41,1125.2,34322900,1117.115,1090.9825,13.60742465,31.21038084,65.693106,79.18050159,3.287579946,2.964664445,2.749454866,3.008455008,1030.142267,1090.9825,1151.822733,0.888373761,-1,-0.0033912,0.006152323,0.006109871,0.005185006
2006-4-20,1139.64,1134.38,1142.54,1127.09,37885700,1120.229,1095.2745,13.64246919,30.96791336,91.98671372,76.18435155,3.247183966,3.066431578,2.491201977,2.844772351,1034.906923,1095.2745,1155.642077,0.823894897,2,0.013029144,-0.0033912,0.006152323,0.006109871
2006-4-21,1133.2,1149.16,1152.89,1127.65,40772900,1124.83,1100.6025,14.93940055,30.59283884,89.91377058,75.58241758,3.180259769,3.131332285,2.411568728,2.706424935,1040.966078,1100.6025,1160.238922,0.907112789,-1,-0.005621497,0.013029144,-0.0033912,0.006152323
2006-4-24,1156.91,1142.7,1160.58,1135.75,45936200,1127.309,1105.202,15.70091041,29.59582467,73.49088107,70.06244827,3.049998625,3.145948882,2.615759705,2.635679421,1047.509117,1105.202,1162.894883,0.824979424,-1,-0.000673843,-0.005621497,0.013029144,-0.0033912
2006-4-25,1139.49,1141.93,1149.54,1123.1,38611100,1129.171,1109.4995,16.26782267,28.28344736,66.2199208,67.04582385,2.967730419,3.135777008,2.518555181,2.557308091,1054.364911,1109.4995,1164.634089,0.794103036,2,0.012084804,-0.000673843,-0.005621497,0.013029144
2006-4-26,1142.9,1155.73,1162.02,1142.07,41824300,1133.037,1114.0215,17.61080858,28.07220395,72.04436602,69.64299079,2.840283369,3.113469848,2.504048877,2.508226894,1059.2987,1114.0215,1168.7443,0.881088872,-1,-0.000398017,0.012084804,-0.000673843,-0.005621497
2006-4-27,1157.38,1155.27,1159.9,1145.26,31980500,1139.171,1119.0035,12.38257956,25.92335774,78.7979046,69.45066428,2.69599354,3.076020972,2.353950253,2.480776549,1068.469573,1119.0035,1169.537427,0.858833183,2,0.014784423,-0.000398017,0.012084804,-0.000673843
