"授权公告号","申请号","法律状态公告日","法律状态","法律状态信息"
"","02137830.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02137830.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02143919.2","2016.12.28","专利权的终止","专利权有效期届满"
"","02144590.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02145123.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02145170.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02145222.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02149270.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02149271.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02149278.6","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02149810.5","2016.12.28","专利实施许可合同备案的生效、变更及注销","专利实施许可合同备案的生效"
"","02149924.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02149930.6","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02149937.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02149953.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02150113.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02150373.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02150615.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02152830.6","2016.12.28","专利权的终止","专利权有效期届满"
"","02804762.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","02804999.3","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02807236.7","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02808454.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","02809578.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","02809578.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","02809578.2","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02809830.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","02810926.0","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","02812329.8","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","02816791.0","2016.12.28","发明专利公报更正","发明专利公报更正"
"","02816791.0","2016.12.28","发明专利更正","发明专利更正"
"","02818291.X","2016.12.28","专利实施许可合同备案的生效、变更及注销","专利实施许可合同备案的生效"
"","02818442.4","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","02820935.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02822249.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02822276.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02822313.6","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02822482.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02822546.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02823096.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","02823455.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","02823467.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02826826.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02829823.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02829837.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","03101928.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","03103571.X","2016.12.28","专利权的终止","专利权有效期届满"
"","03106170.2","2016.12.28","专利权的终止","专利权有效期届满"
"","03114118.8","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"","03117612.7","2016.12.28","文件的公告送达","文件的公告送达"
"","03119619.5","2016.12.28","专利权的无效宣告","专利权全部无效"
"","03119840.6","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","03121679.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","03132953.5","2016.12.28","文件的公告送达","文件的公告送达"
"","03136569.8","2016.12.28","专利权的无效宣告","专利权全部无效"
"","03142764.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","03143851.2","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","03156927.7","2016.12.28","专利权的终止","专利权有效期届满"
"","03159011.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","03809069.4","2016.12.28","专利实施许可合同备案的生效、变更及注销","专利实施许可合同备案的生效"
"","03812873.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","03813110.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","03815667.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","03817716.1","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","03822360.0","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200310103510.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200310103530.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200310104296.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200310104435.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200310104790.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200310106927.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200310108276.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200310109642.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200310110911.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200310111989.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200310114138.6","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200310114139.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200310116358.2","2016.12.28","专利权的终止","专利权有效期届满"
"","200310117621.X","2016.12.28","发明专利公报更正","发明专利公报更正"
"","200310120107.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200380100354.3","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200380101429.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200380101672.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200380101672.1","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200380102727.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200380102798.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200380103413.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200380104142.2","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200380105799.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200380106374.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200380108506.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200380108696.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200380109687.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410002607.X","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"","200410003720.X","2016.12.28","专利权的终止","专利权有效期届满"
"","200410003721.4","2016.12.28","专利权的终止","专利权有效期届满"
"","200410008653.0","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的生效"
"","200410014011.1","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200410014011.1","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200410014011.1","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200410014372.6","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200410014372.6","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200410014372.6","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200410024519.X","2016.12.28","专利权的保全及其解除","专利权保全的解除"
"","200410034163.8","2016.12.28","专利权的无效宣告","专利权全部无效"
"","200410044027.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410044028.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410044029.6","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410046173.3","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200410047635.3","2016.12.28","专利权的终止","专利权有效期届满"
"","200410049461.4","2016.12.28","专利权的保全及其解除","专利权的保全"
"","200410051437.4","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"","200410052088.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410052100.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410061392.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200410067938.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410068364.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200410073875.0","2016.12.28","文件的公告送达","文件的公告送达"
"","200410080512.X","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"","200410083326.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200410084190.6","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200410084190.6","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200410086106.4","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200410086851.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410088324.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410088387.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410088534.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410088862.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410088881.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410090548.6","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410090712.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410092317.9","2016.12.28","专利权的终止","未缴年费专利权终止"
