"授权公告号","申请号","法律状态公告日","法律状态","法律状态信息"
"","201130318143.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130354027.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201130354027.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201130357942.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201130361498.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130381040.2","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的生效"
"","201130381071.8","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的生效"
"","201130389981.0","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201130399704.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130403947.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130404038.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130404201.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130404508.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405569.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405577.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405611.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405638.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405719.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405720.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405733.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405752.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405812.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405826.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405840.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130405948.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406020.6","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406061.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406062.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406100.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406259.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406263.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406266.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406506.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406509.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406517.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406666.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406669.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406674.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406785.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406817.6","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406818.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406819.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406833.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406834.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406848.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406858.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406873.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130406876.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130407064.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130407069.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130407083.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130407099.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130407104.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130407108.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130407132.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130407137.6","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130407319.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130407324.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130407325.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130408644.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130412718.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130419720.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130422910.6","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130426771.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201130429355.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130429721.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","201130436129.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201130467276.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201130484195.9","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201130484195.9","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201130494638.2","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201130498320.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201130498342.8","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201130501565.5","2016.12.28","文件的公告送达","文件的公告送达"
"","201130505985.0","2016.12.28","专利实施许可合同备案的生效、变更及注销","专利实施许可合同备案的生效"
"","201130505989.9","2016.12.28","专利实施许可合同备案的生效、变更及注销","专利实施许可合同备案的生效"
"","201130508226.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201130508629.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201130508629.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201130508835.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201130509867.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201130509868.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201180001754.3","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103535094B","201180002308.4","2016.12.28","授权","授权"
"103004020B","201180003262.8","2016.12.28","授权","授权"
"103548381B","201180003285.9","2016.12.28","授权","授权"
"103503467B","201180003530.6","2016.12.28","授权","授权"
"","201180005708.0","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"102844470B","201180007222.0","2016.12.28","授权","授权"
"","201180007716.9","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"102753757B","201180008994.6","2016.12.28","授权","授权"
"","201180009230.9","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180009681.2","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180010192.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201180010737.6","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201180011305.7","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103080276B","201180011616.3","2016.12.28","授权","授权"
"","201180011645.X","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"102783139B","201180012002.7","2016.12.28","授权","授权"
"","201180012381.X","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180012591.9","2016.12.28","发明专利申请公布后的驳回","发明专利申请公布后的驳回"
"","201180013125.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201180014179.0","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180014854.X","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180016203.4","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201180017875.7","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180018759.7","2016.12.28","发明专利申请公布后的驳回","发明专利申请公布后的驳回"
"102844619B","201180018804.9","2016.12.28","授权","授权"
"","201180019159.2","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"103328652B","201180019406.9","2016.12.28","授权","授权"
"","201180019468.X","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180020255.9","2016.12.28","发明专利申请公布后的驳回","发明专利申请公布后的驳回"
"102971724B","201180020260.X","2016.12.28","授权","授权"
"","201180021707.5","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180022277.9","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"102905966B","201180022562.0","2016.12.28","授权","授权"
"","201180022692.4","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180022886.4","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180023277.0","2016.12.28","发明专利申请公布后的驳回","发明专利申请公布后的驳回"
"102892817B","201180023955.3","2016.12.28","授权","授权"
"103037881B","201180024048.0","2016.12.28","授权","授权"
"","201180024352.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"103118833B","201180025516.6","2016.12.28","授权","授权"
"","201180025695.3","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180025870.9","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"102907137B","201180025932.6","2016.12.28","授权","授权"
"102959742B","201180026099.7","2016.12.28","授权","授权"
"103003596B","201180026848.6","2016.12.28","授权","授权"
"","201180026972.2","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103038729B","201180027178.X","2016.12.28","授权","授权"
"102934488B","201180027893.3","2016.12.28","授权","授权"
"","201180027930.0","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"102933841B","201180028143.8","2016.12.28","授权","授权"
"","201180028169.2","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180028299.6","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"102971656B","201180029629.3","2016.12.28","授权","授权"
"102959559B","201180029740.2","2016.12.28","授权","授权"
"","201180030225.6","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201180030227.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"102947587B","201180030824.8","2016.12.28","授权","授权"
"","201180030944.8","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"102947956B","201180031071.2","2016.12.28","授权","授权"
"103109549B","201180031607.0","2016.12.28","授权","授权"
"","201180031931.2","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180032506.5","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"102970927B","201180033381.8","2016.12.28","授权","授权"
"","201180033820.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"103038635B","201180033987.1","2016.12.28","授权","授权"
"","201180034005.0","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103003894B","201180035045.7","2016.12.28","授权","授权"
"103003575B","201180035469.3","2016.12.28","授权","授权"
"","201180036049.7","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103109290B","201180036085.3","2016.12.28","授权","授权"
"103180014B","201180036900.6","2016.12.28","授权","授权"
"","201180038148.9","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103069892B","201180039009.8","2016.12.28","授权","授权"
"103069385B","201180039226.7","2016.12.28","授权","授权"
"","201180039697.8","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180039954.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201180040022.5","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103328823B","201180040305.X","2016.12.28","授权","授权"
"","201180040342.0","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180040724.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201180041160.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"103069592B","201180041377.6","2016.12.28","授权","授权"
"","201180041441.0","2016.12.28","发明专利申请公布后的驳回","发明专利申请公布后的驳回"
"","201180041661.3","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180042528.X","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103109310B","201180043181.0","2016.12.28","授权","授权"
"","201180043199.0","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103221143B","201180043308.9","2016.12.28","授权","授权"
"103096814B","201180043795.9","2016.12.28","授权","授权"
"","201180043897.0","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103097884B","201180044119.3","2016.12.28","授权","授权"
"103109546B","201180044369.7","2016.12.28","授权","授权"
"","201180044462.8","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180044621.4","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180045675.2","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103119950B","201180046021.1","2016.12.28","授权","授权"
"","201180046043.8","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103154697B","201180046675.4","2016.12.28","授权","授权"
"","201180047472.7","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180048014.5","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103155630B","201180048128.X","2016.12.28","授权","授权"
"","201180048614.1","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180048783.5","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201180048916.9","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180049381.7","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103153369B","201180049541.8","2016.12.28","授权","授权"
"","201180049723.5","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180049769.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"103180212B","201180051059.8","2016.12.28","授权","授权"
"","201180051093.5","2016.12.28","专利申请权、专利权的转移","专利申请权的转移"
"103210670B","201180051361.3","2016.12.28","授权","授权"
"103262049B","201180052110.7","2016.12.28","授权","授权"
"","201180052494.2","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180052869.5","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180053672.3","2016.12.28","著录事项变更","著录事项变更"
"103209981B","201180054415.1","2016.12.28","授权","授权"
"","201180054740.8","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180055086.2","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180055409.8","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103221972B","201180055549.5","2016.12.28","授权","授权"
"","201180055604.0","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103221954B","201180056337.9","2016.12.28","授权","授权"
"103314229B","201180056756.2","2016.12.28","授权","授权"
"103338692B","201180056915.9","2016.12.28","授权","授权"
"","201180057468.9","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180058031.7","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180058472.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201180058834.2","2016.12.28","著录事项变更","著录事项变更"
"","201180058834.2","2016.12.28","著录事项变更","著录事项变更"
"","201180059572.1","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103262621B","201180059860.7","2016.12.28","授权","授权"
"103261156B","201180059955.9","2016.12.28","授权","授权"
"","201180059996.8","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103403704B","201180060459.5","2016.12.28","授权","授权"
"","201180060487.7","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180060887.8","2016.12.28","发明专利申请公布后的驳回","发明专利申请公布后的驳回"
"","201180061021.9","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180061195.5","2016.12.28","发明专利申请公布后的驳回","发明专利申请公布后的驳回"
"103262576B","201180061418.8","2016.12.28","授权","授权"
"103270551B","201180061483.0","2016.12.28","授权","授权"
"103270631B","201180061661.X","2016.12.28","授权","授权"
"","201180061763.1","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180061786.2","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103328476B","201180061822.5","2016.12.28","授权","授权"
"103269655B","201180062241.3","2016.12.28","授权","授权"
"103314651B","201180062276.7","2016.12.28","授权","授权"
"","201180062484.7","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103299376B","201180063084.8","2016.12.28","授权","授权"
"103403636B","201180063258.0","2016.12.28","授权","授权"
"103299261B","201180063354.5","2016.12.28","授权","授权"
"","201180063417.7","2016.12.28","著录事项变更","著录事项变更"
"","201180063673.6","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180063726.4","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180063920.2","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103281982B","201180063982.3","2016.12.28","授权","授权"
"103281901B","201180064020.X","2016.12.28","授权","授权"
"103283255B","201180064184.2","2016.12.28","授权","授权"
"103348476B","201180064616.X","2016.12.28","授权","授权"
"103314140B","201180064740.6","2016.12.28","授权","授权"
"","201180064764.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201180064970.2","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201180065344.5","2016.12.28","著录事项变更","著录事项变更"
"","201180065922.5","2016.12.28","著录事项变更","著录事项变更"
"","201180066066.5","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180066096.6","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180066449.2","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103348238B","201180066619.7","2016.12.28","授权","授权"
"103348734B","201180066657.2","2016.12.28","授权","授权"
"","201180066861.4","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180067121.2","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180067780.6","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103384909B","201180068178.4","2016.12.28","授权","授权"
"103384488B","201180068214.7","2016.12.28","授权","授权"
"","201180068369.0","2016.12.28","专利申请权、专利权的转移","专利申请权的转移"
"","201180068490.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201180068522.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201180068702.8","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180068760.0","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180068766.8","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103415744B","201180068798.8","2016.12.28","授权","授权"
"103415827B","201180068907.6","2016.12.28","授权","授权"
"103429782B","201180069256.2","2016.12.28","授权","授权"
"103429845B","201180069366.9","2016.12.28","授权","授权"
"103534022B","201180069520.2","2016.12.28","授权","授权"
"","201180069536.3","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103444110B","201180069543.3","2016.12.28","授权","授权"
"103460369B","201180070028.7","2016.12.28","授权","授权"
"103492461B","201180070080.2","2016.12.28","授权","授权"
"103493006B","201180070306.9","2016.12.28","授权","授权"
"","201180070468.2","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180070496.4","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180070845.2","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"103534476B","201180070884.2","2016.12.28","授权","授权"
"103548231B","201180070972.2","2016.12.28","授权","授权"
"103563432B","201180071184.5","2016.12.28","授权","授权"
"103562279B","201180071214.2","2016.12.28","授权","授权"
"","201180071305.6","2016.12.28","专利申请权、专利权的转移","专利申请权的转移"
"","201180071305.6","2016.12.28","著录事项变更","著录事项变更"
"103563396B","201180071305.6","2016.12.28","授权","授权"
"","201180071914.1","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103688346B","201180072259.1","2016.12.28","授权","授权"
"103732467B","201180072516.1","2016.12.28","授权","授权"
"103891180B","201180072593.7","2016.12.28","授权","授权"
"103703729B","201180072594.1","2016.12.28","授权","授权"
"103717321B","201180072601.8","2016.12.28","授权","授权"
"103857958B","201180072907.3","2016.12.28","授权","授权"
"","201180073058.3","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180073083.1","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103946571B","201180073168.X","2016.12.28","授权","授权"
"103782196B","201180073368.5","2016.12.28","授权","授权"
"103814563B","201180073556.8","2016.12.28","授权","授权"
"103827996B","201180073664.5","2016.12.28","授权","授权"
"103827425B","201180073704.6","2016.12.28","授权","授权"
"103828495B","201180073841.X","2016.12.28","授权","授权"
"","201180073895.6","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"104039379B","201180074289.6","2016.12.28","授权","授权"
"103906660B","201180074517.X","2016.12.28","授权","授权"
"","201180074523.5","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180074854.9","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201180075099.6","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"103958103B","201180075175.3","2016.12.28","授权","授权"
"103999018B","201180075374.4","2016.12.28","授权","授权"
"","201180075450.1","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103987363B","201180075563.1","2016.12.28","授权","授权"
"","201180075675.7","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103999200B","201180075728.5","2016.12.28","授权","授权"
"104011849B","201180075765.6","2016.12.28","授权","授权"
"104011664B","201180075792.3","2016.12.28","授权","授权"
"104011670B","201180075835.8","2016.12.28","授权","授权"
"104023950B","201180076078.6","2016.12.28","授权","授权"
"104040528B","201180076079.0","2016.12.28","授权","授权"
"104205544B","201180076235.3","2016.12.28","授权","授权"
"104054148B","201180076276.2","2016.12.28","授权","授权"
"","201180076426.X","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"102547956B","201210001256.5","2016.12.28","授权","授权"
"","201210001811.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"103200426B","201210002218.1","2016.12.28","授权","授权"
"","201210002394.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201210002662.3","2016.12.28","著录事项变更","著录事项变更"
"","201210004114.4","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"102592847B","201210004353.X","2016.12.28","授权","授权"
"","201210005626.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201210006338.9","2016.12.28","文件的公告送达","文件的公告送达"
"","201210008043.5","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201210008122.6","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"","201210008124.5","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"","201210008630.4","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"102538069B","201210008988.7","2016.12.28","授权","授权"
"103208191B","201210010324.4","2016.12.28","授权","授权"
"","201210011240.2","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"","201210011340.5","2016.12.28","文件的公告送达","文件的公告送达"
"","201210011749.7","2016.12.28","专利权的无效宣告","专利权全部无效"
"103208536B","201210012563.3","2016.12.28","授权","授权"
"102562315B","201210012979.5","2016.12.28","授权","授权"
"103207746B","201210013228.5","2016.12.28","授权","授权"
"103208247B","201210013273.0","2016.12.28","授权","授权"
"103209088B","201210013863.3","2016.12.28","授权","授权"
"","201210014466.8","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的生效"
"103213255B","201210014807.1","2016.12.28","授权","授权"
"102623042B","201210015549.9","2016.12.28","授权","授权"
"","201210015768.7","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201210015788.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","201210018620.9","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201210018821.9","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"103218726B","201210018903.3","2016.12.28","授权","授权"
"103220484B","201210018928.3","2016.12.28","授权","授权"
"103220102B","201210019864.9","2016.12.28","授权","授权"
"103217654B","201210020072.3","2016.12.28","授权","授权"
"","201210020434.9","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"102609689B","201210023760.5","2016.12.28","授权","授权"
"","201210023812.9","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201210024301.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201210025651.7","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"102556645B","201210025968.0","2016.12.28","授权","授权"
"","201210031218.4","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"","201210032111.1","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201210032268.4","2016.12.28","专利申请权、专利权的转移","专利申请权的转移"
"","201210032268.4","2016.12.28","著录事项变更","著录事项变更"
"102645946B","201210032980.4","2016.12.28","授权","授权"
"","201210033857.4","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"","201210033955.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"102646689B","201210035073.5","2016.12.28","授权","授权"
"","201210037169.5","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201210038018.1","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201210038042.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","201210038675.6","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201210038726.5","2016.12.28","发明专利申请公布后的驳回","发明专利申请公布后的驳回"
"","201210038930.7","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201210039033.8","2016.12.28","发明专利申请公布后的驳回","发明专利申请公布后的驳回"
"102645386B","201210039202.8","2016.12.28","授权","授权"
"103257868B","201210040060.7","2016.12.28","授权","授权"
"103257819B","201210040091.2","2016.12.28","授权","授权"
"103259616B","201210040463.1","2016.12.28","授权","授权"
"102647589B","201210041786.2","2016.12.28","授权","授权"
"","201210042112.4","2016.12.28","专利权的视为放弃","专利权的视为放弃"
"102578946B","201210042154.8","2016.12.28","授权","授权"
"","201210042783.0","2016.12.28","发明专利申请公布后的视为撤回","发明专利申请公布后的视为撤回"
"","201210043031.6","2016.12.28","发明专利申请公布后的驳回","发明专利申请公布后的驳回"
"","201210043195.9","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"103042922B","201210045174.0","2016.12.28","授权","授权"
"103294701B","201210046685.4","2016.12.28","授权","授权"
