,0
0,-0.013602310924369747
1,-0.05473282778171509
2,0.03451698086463502
3,-0.013090205527994331
4,-0.010679761904761845
5,0.0008240255138199804
6,-0.01702077030812326
7,-0.03074598765432096
8,-0.00933522590361445
9,-0.04441097019657578
10,-0.07627076807228916
11,0.41758588235294136
12,0.012603129591536878
13,0.025924506387921056
14,0.008619806053482226
15,0.014004819277108432
16,-0.011145283573317668
17,0.06555368347338937
18,0.03969529411764701
19,-0.050335875265768854
20,-0.0485087349397591
21,-0.02890294117647052
22,-0.021933935574229624
23,0.3408764705882353
24,-0.0362799589603283
25,-0.009549220246238083
26,-0.07766941176470588
27,0.04448385154061618
28,-0.022182976612331713
29,0.04377920623671158
30,0.05431914953933378
31,0.03400352941176475
32,0.2251
33,0.021140740740740765
34,-0.033401938789641324
35,0.22505977011494246
36,-0.02076253390158861
37,-0.024902720306513422
38,-0.049707854406130236
39,-0.03662390282131663
40,-0.040264485370950925
41,8.007399577125707e-06
42,-0.02614494382022472
43,0.07193146067415729
44,0.02335916354556801
45,0.07077564294631739
46,-0.010997503121098623
47,0.22162333333333328
48,0.009929885057471305
49,-0.10721609195402304
50,0.07333793103448263
51,0.016742528735632194
52,-0.023365517241379266
53,0.017244827586206907
54,0.009659409248863932
55,0.02053740978348033
56,0.019717241379310347
57,0.0029303814002089867
58,0.0454461206896552
59,0.16477954545454557
60,0.015357818765036113
61,-0.019145812807881774
62,-0.021849887860947582
63,-0.022794540229885068
64,-0.031347577030812396
65,0.01997466484268124
66,0.014990750528541225
67,-0.009571818181818185
68,-0.018941203515889113
69,0.007914867109634552
70,0.011280407523510973
71,0.11425568181818187
72,0.02233255813953489
73,-0.009674659182036886
74,0.003885057471264358
75,-0.022989187383052695
76,-0.01205101577118418
77,-0.025987008821170818
78,0.021765007836990563
79,-0.0020190438871473468
80,
81,0.03771590909090911
82,0.01888522727272733
83,0.1489863636363637
84,-0.0019812565308254815
85,-0.034498017970401654
86,0.029445031712473573
87,-0.024081737967914452
88,-0.004564006950013362
89,-0.034205576109936554
90,0.018663477801268424
91,0.026987077167019008
92,0.044307219251336905
93,0.013929695740365067
94,0.007258271670190275
95,0.20343068181818183
96,-0.03427885878489323
97,0.015047514033680832
98,0.000841596194503122
99,0.011714006342494726
100,3.8770053475620236e-07
101,0.00477056149732618
102,-0.020616966173361513
103,0.024513349007314535
104,-0.019231478578892375
105,-0.004533973354231974
106,-0.028705864681295712
107,0.10631931818181817
108,0.020299887923788184
109,-0.05981504623143738
110,0.031125896527285646
111,0.01826622303166149
112,-0.033334181169120944
113,-0.13064737065910703
114,-0.25111118493909185
115,0.1158125444596443
116,0.0418813953488372
117,0.02494436781609194
118,-0.12203965517241402
119,0.36132528735632197
120,0.03776714285714286
121,-0.009962433862433812
122,-0.019548427857772527
123,0.03239291982745797
124,0.023087720588235314
125,-0.008586347131445163
126,0.02039002801120447
127,-0.0006000425230331397
128,-0.0379
129,0.031718050941306766
130,-0.013198823529411756
131,0.13931724137931034
132,0.00257585542168675
133,0.009018421052631578
134,-0.013256325301204817
135,0.03190220622750743
136,-0.016155303030303027
137,0.015484798534798554
138,0.012372710307206429
139,0.023319001701644925
140,-0.008423737946681813
141,0.021841472868217044
142,0.01687756497948016
143,0.20200348837209303
