授权公告号,申请号,法律状态公告日1,法律状态1,法律状态信息1,法律状态公告日2,法律状态2,法律状态信息2,法律状态公告日3,法律状态3,法律状态信息3,法律状态公告日4,法律状态4,法律状态信息4
,2127499.1,2016.12.28,专利权的终止,专利权有效期届满
,2132132.9,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2134041.2,2016.12.28,专利权的终止,未缴年费专利权终止
,2135096.5,2016.12.28,专利权的终止,未缴年费专利权终止
,2137830.4,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
,2143919.2,2016.12.28,专利权的终止,专利权有效期届满
,2144590.7,2016.12.28,专利权的终止,未缴年费专利权终止
,2145123,2016.12.28,专利权的终止,未缴年费专利权终止
,2145170.2,2016.12.28,专利权的终止,未缴年费专利权终止
,2145222.9,2016.12.28,专利权的终止,未缴年费专利权终止
,2149270,2016.12.28,专利权的终止,未缴年费专利权终止
,2149271.9,2016.12.28,专利权的终止,未缴年费专利权终止
,2149278.6,2016.12.28,专利权的终止,未缴年费专利权终止
,2149810.5,2016.12.28,专利实施许可合同备案的生效、变更及注销,专利实施许可合同备案的生效
,2149924.1,2016.12.28,专利权的终止,未缴年费专利权终止
,2149930.6,2016.12.28,专利权的终止,未缴年费专利权终止
,2149937.3,2016.12.28,专利权的终止,未缴年费专利权终止
,2149953.5,2016.12.28,专利权的终止,未缴年费专利权终止
,2150113,2016.12.28,专利权的终止,未缴年费专利权终止
,2150373.7,2016.12.28,专利权的终止,未缴年费专利权终止
,2150615.9,2016.12.28,专利权的终止,未缴年费专利权终止
,2152830.6,2016.12.28,专利权的终止,专利权有效期届满
,2804762.1,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2804999.3,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
